2_10/out:==== RAMD ==== GROMACS will be stopped after 1457550 steps.
2_11/out:==== RAMD ==== GROMACS will be stopped after 1133600 steps.
2_12/out:==== RAMD ==== GROMACS will be stopped after 1578650 steps.
2_13/out:==== RAMD ==== GROMACS will be stopped after 2048250 steps.
2_14/out:==== RAMD ==== GROMACS will be stopped after 1386100 steps.
2_15/out:==== RAMD ==== GROMACS will be stopped after 1523250 steps.
2_16/out:==== RAMD ==== GROMACS will be stopped after 1246750 steps.
2_17/out:==== RAMD ==== GROMACS will be stopped after 1411350 steps.
2_18/out:==== RAMD ==== GROMACS will be stopped after 2350200 steps.
2_19/out:==== RAMD ==== GROMACS will be stopped after 717700 steps.
2_1/out:==== RAMD ==== GROMACS will be stopped after 1559650 steps.
2_20/out:==== RAMD ==== GROMACS will be stopped after 1155700 steps.
2_2/out:==== RAMD ==== GROMACS will be stopped after 1793700 steps.
2_3/out:==== RAMD ==== GROMACS will be stopped after 1633600 steps.
2_4/out:==== RAMD ==== GROMACS will be stopped after 2847250 steps.
2_5/out:==== RAMD ==== GROMACS will be stopped after 1175900 steps.
2_6/out:==== RAMD ==== GROMACS will be stopped after 1495200 steps.
2_7/out:==== RAMD ==== GROMACS will be stopped after 3864800 steps.
2_8/out:==== RAMD ==== GROMACS will be stopped after 1321200 steps.
2_9/out:==== RAMD ==== GROMACS will be stopped after 623600 steps.
